Date,Open,Close,High,Low,Volumn
2017-04-10 07:00:00+07:00,16.46,15.9,16.49,15.69,18208490
2017-04-17 07:00:00+07:00,15.92,15.66,15.97,15.46,18061630
2017-04-24 07:00:00+07:00,15.69,15.12,15.72,14.76,24415520
2017-05-03 07:00:00+07:00,15.12,15.02,15.18,14.97,7369380
2017-05-08 07:00:00+07:00,15.02,15.28,15.64,14.97,18505910
2017-05-15 07:00:00+07:00,15.28,14.76,15.3,14.61,18114510
2017-05-22 07:00:00+07:00,14.76,15.02,15.25,14.76,12946290
2017-05-29 07:00:00+07:00,15.07,15.43,15.9,15.07,23817460
2017-06-05 07:00:00+07:00,15.43,16.18,16.31,15.33,29273370
2017-06-12 07:00:00+07:00,16.13,16.95,17.42,15.82,34198360
2017-06-19 07:00:00+07:00,17.03,16.92,17.09,16.68,16962420
2017-06-26 07:00:00+07:00,16.87,17.58,17.58,16.79,18989680
2017-07-03 07:00:00+07:00,17.58,18.13,18.68,17.58,26694310
2017-07-10 07:00:00+07:00,18.13,18.52,18.93,17.69,21427000
2017-07-17 07:00:00+07:00,18.54,17.25,18.54,16.92,27090740
2017-07-24 07:00:00+07:00,17.12,17.83,18.08,17.09,11170830
2017-07-31 07:00:00+07:00,17.64,17.58,18.08,17.5,11955900
2017-08-07 07:00:00+07:00,17.58,17.97,18.0,17.45,10115560
2017-08-14 07:00:00+07:00,17.97,18.54,18.9,17.94,24454910
2017-08-21 07:00:00+07:00,18.52,18.63,18.65,18.02,17336850
2017-08-28 07:00:00+07:00,18.68,19.29,19.42,18.63,20714210
2017-09-05 07:00:00+07:00,19.29,19.75,19.84,19.2,18825120
2017-09-11 07:00:00+07:00,19.73,20.33,20.5,19.18,19252120
2017-09-18 07:00:00+07:00,20.5,20.72,21.24,20.47,20427790
2017-09-25 07:00:00+07:00,20.74,21.37,21.4,20.36,16767050
2017-10-02 07:00:00+07:00,21.4,21.35,21.92,21.1,18860690
2017-10-09 07:00:00+07:00,21.43,21.4,21.98,21.32,17078190
2017-10-16 07:00:00+07:00,21.43,20.58,21.59,20.27,21926110
2017-10-23 07:00:00+07:00,20.39,20.72,20.72,20.14,13248990
2017-10-30 07:00:00+07:00,20.77,19.89,20.77,19.12,21078760
2017-11-06 07:00:00+07:00,20.06,20.47,20.5,20.0,15816360
2017-11-13 07:00:00+07:00,20.47,20.99,21.54,19.95,18336850
2017-11-20 07:00:00+07:00,20.99,21.48,21.54,20.44,24595350
2017-11-27 07:00:00+07:00,21.54,22.8,22.91,21.4,28463850
2017-12-04 07:00:00+07:00,22.75,22.64,23.24,22.31,24722800
2017-12-11 07:00:00+07:00,22.31,22.91,23.05,20.88,22576350
2017-12-18 07:00:00+07:00,23.19,24.37,24.84,22.94,29791500
2017-12-25 07:00:00+07:00,24.37,25.74,25.77,23.87,22095610
2018-01-02 07:00:00+07:00,25.77,26.37,26.65,25.52,17234050
2018-01-08 07:00:00+07:00,26.21,28.63,29.67,26.1,26314880
2018-01-15 07:00:00+07:00,28.52,32.8,32.91,28.35,25541070
2018-01-22 07:00:00+07:00,32.69,35.11,35.72,32.69,25433880
2018-01-29 07:00:00+07:00,35.44,33.57,35.72,32.14,27419560
2018-02-05 07:00:00+07:00,32.91,32.03,33.79,29.18,41634870
2018-02-12 07:00:00+07:00,32.03,33.3,33.57,31.81,11858730
2018-02-21 07:00:00+07:00,33.79,33.85,34.07,32.25,24404360
2018-02-26 07:00:00+07:00,34.56,36.43,37.25,34.18,41855020
2018-03-05 07:00:00+07:00,36.37,33.79,36.43,32.53,43788330
2018-03-12 07:00:00+07:00,33.79,33.08,34.29,32.75,22327250
2018-03-19 07:00:00+07:00,33.52,33.74,35.33,33.24,25510520
2018-03-26 07:00:00+07:00,33.35,33.19,33.68,32.14,25535590
2018-04-02 07:00:00+07:00,33.24,33.19,33.3,31.59,22341260
2018-04-09 07:00:00+07:00,33.3,33.63,34.12,32.91,24109270
2018-04-16 07:00:00+07:00,33.24,32.31,33.52,30.88,16721550
2018-04-23 07:00:00+07:00,32.36,29.56,32.36,28.46,16416650
2018-05-02 07:00:00+07:00,29.89,29.67,30.44,29.29,12122880
2018-05-07 07:00:00+07:00,29.89,30.6,31.81,29.62,15836350
2018-05-14 07:00:00+07:00,30.82,29.62,30.94,28.85,16286100
2018-05-21 07:00:00+07:00,29.95,28.63,30.0,27.64,20956260
