Date,Close,Open,High,Low,Volumn
2020-03-20 09:15:17+07:00,3.59,3.56,3.59,3.56,312370
2020-03-20 09:16:06+07:00,3.6,3.59,3.6,3.56,57040
2020-03-20 09:17:00+07:00,3.6,3.59,3.6,3.59,49630
2020-03-20 09:18:02+07:00,3.61,3.6,3.61,3.59,121540
2020-03-20 09:19:01+07:00,3.6,3.61,3.61,3.59,61500
2020-03-20 09:20:12+07:00,3.56,3.59,3.59,3.56,112400
2020-03-20 09:21:07+07:00,3.55,3.56,3.57,3.55,152320
2020-03-20 09:22:02+07:00,3.55,3.56,3.56,3.55,65210
2020-03-20 09:23:00+07:00,3.56,3.55,3.56,3.55,56000
2020-03-20 09:24:01+07:00,3.57,3.57,3.57,3.56,17120
2020-03-20 09:25:10+07:00,3.57,3.57,3.57,3.57,39190
2020-03-20 09:26:13+07:00,3.59,3.59,3.59,3.57,14550
2020-03-20 09:27:00+07:00,3.58,3.59,3.59,3.56,31310
2020-03-20 09:28:04+07:00,3.57,3.58,3.58,3.57,10130
2020-03-20 09:29:01+07:00,3.55,3.57,3.57,3.55,115770
2020-03-20 09:30:02+07:00,3.55,3.56,3.56,3.54,100020
2020-03-20 09:31:00+07:00,3.55,3.55,3.55,3.55,7790
2020-03-20 09:32:03+07:00,3.55,3.55,3.55,3.54,69950
2020-03-20 09:33:09+07:00,3.55,3.55,3.55,3.54,40280
2020-03-20 09:34:08+07:00,3.55,3.55,3.55,3.54,54820
2020-03-20 09:35:01+07:00,3.54,3.55,3.55,3.53,95320
2020-03-20 09:36:02+07:00,3.54,3.54,3.55,3.54,54600
2020-03-20 09:37:00+07:00,3.54,3.54,3.55,3.54,64430
2020-03-20 09:38:03+07:00,3.54,3.54,3.54,3.54,67500
2020-03-20 09:39:05+07:00,3.54,3.55,3.55,3.54,14800
2020-03-20 09:40:03+07:00,3.54,3.55,3.55,3.54,107920
2020-03-20 09:41:41+07:00,3.53,3.54,3.54,3.53,278790
2020-03-20 09:42:11+07:00,3.53,3.53,3.53,3.52,18280
2020-03-20 09:43:20+07:00,3.53,3.53,3.53,3.53,20200
2020-03-20 09:44:26+07:00,3.54,3.54,3.54,3.54,5030
2020-03-20 09:45:24+07:00,3.53,3.53,3.53,3.53,80290
2020-03-20 09:46:02+07:00,3.53,3.53,3.53,3.53,31830
2020-03-20 09:47:07+07:00,3.54,3.53,3.54,3.53,15620
2020-03-20 09:48:06+07:00,3.53,3.53,3.54,3.53,35940
2020-03-20 09:49:02+07:00,3.54,3.54,3.54,3.53,75000
2020-03-20 09:50:05+07:00,3.54,3.54,3.54,3.54,4870
2020-03-20 09:51:05+07:00,3.55,3.54,3.55,3.54,88750
2020-03-20 09:52:18+07:00,3.54,3.54,3.54,3.54,21200
2020-03-20 09:53:00+07:00,3.54,3.55,3.55,3.54,23020
2020-03-20 09:54:05+07:00,3.55,3.55,3.55,3.55,55910
2020-03-20 09:55:06+07:00,3.55,3.55,3.55,3.54,151420
2020-03-20 09:56:11+07:00,3.55,3.55,3.55,3.55,7470
2020-03-20 09:57:41+07:00,3.55,3.56,3.56,3.55,6670
