Date,Open,High,Low,Close,Volumn
2018-11-01 00:00:00+07:00,42050,43000,41900,42900,1063570
2018-11-05 00:00:00+07:00,42600,43000,41200,41250,2219360
2018-11-12 00:00:00+07:00,41200,42900,41150,42750,2602280
2018-11-19 00:00:00+07:00,43000,43600,42700,43050,2128880
2018-11-26 00:00:00+07:00,43050,43500,42450,42900,1928770
2018-12-03 00:00:00+07:00,43200,45500,43200,45100,4000700
2018-12-10 00:00:00+07:00,44800,45250,43900,44150,3310300
2018-12-17 00:00:00+07:00,44100,44100,41850,42500,3289900
2018-12-24 00:00:00+07:00,42600,42800,41000,42200,2120460
