Date,Open,High,Low,Close,Volumn
2019-01-02 09:00:00+07:00,41.8,42.15,41.8,42.1,95010
2019-01-02 09:30:00+07:00,42.1,42.15,41.9,41.9,32260
2019-01-02 10:00:00+07:00,41.9,41.9,41.8,41.85,8690
2019-01-02 10:30:00+07:00,41.9,42.1,41.8,42.0,43870
2019-01-02 11:00:00+07:00,42.0,42.1,41.8,42.0,17720
2019-01-02 13:00:00+07:00,42.0,42.0,41.8,41.9,26370
2019-01-02 13:30:00+07:00,41.8,41.9,41.75,41.8,37730
2019-01-02 14:00:00+07:00,41.75,41.75,41.15,41.3,132610
2019-01-02 14:30:00+07:00,41.2,41.2,41.2,41.2,64860
2019-01-03 09:00:00+07:00,41.45,41.45,41.1,41.1,54630
2019-01-03 09:30:00+07:00,41.2,41.2,41.1,41.15,44690
2019-01-03 10:00:00+07:00,41.1,41.35,41.1,41.15,49010
2019-01-03 10:30:00+07:00,41.1,41.15,40.9,40.9,120510
2019-01-03 11:00:00+07:00,40.85,40.9,40.8,40.8,78720
2019-01-03 13:00:00+07:00,40.85,40.9,40.7,40.9,114570
2019-01-03 13:30:00+07:00,40.85,40.9,40.8,40.85,116840
2019-01-03 14:00:00+07:00,40.85,41.0,40.8,40.85,110140
2019-01-03 14:30:00+07:00,40.8,40.8,40.8,40.8,27490
2019-01-04 09:00:00+07:00,40.6,40.6,40.5,40.55,44920
2019-01-04 09:30:00+07:00,40.6,40.75,40.6,40.75,36230
2019-01-04 10:00:00+07:00,40.7,40.7,40.6,40.65,71430
2019-01-04 10:30:00+07:00,40.65,41.0,40.6,41.0,13690
2019-01-04 11:00:00+07:00,41.0,41.1,40.95,40.95,24010
2019-01-04 13:00:00+07:00,41.0,41.3,40.9,41.3,48600
2019-01-04 13:30:00+07:00,41.4,41.4,41.3,41.3,26670
2019-01-04 14:00:00+07:00,41.4,41.45,41.2,41.3,19710
2019-01-04 14:30:00+07:00,41.1,41.1,41.1,41.1,33310
