Date,Open,High,Low,Close,Volumn
2019-01-02 09:15:00+07:00,41.8,42.15,41.8,42.1,95010
2019-01-02 09:30:00+07:00,42.1,42.15,42.0,42.1,8540
2019-01-02 09:45:00+07:00,42.0,42.0,41.9,41.9,23720
2019-01-02 10:00:00+07:00,41.9,41.9,41.8,41.85,3620
2019-01-02 10:15:00+07:00,41.9,41.9,41.8,41.85,5070
2019-01-02 10:30:00+07:00,41.9,41.9,41.8,41.9,35000
2019-01-02 10:45:00+07:00,41.9,42.1,41.9,42.0,8870
2019-01-02 11:00:00+07:00,42.0,42.1,41.9,42.0,7990
2019-01-02 11:15:00+07:00,41.9,42.0,41.8,42.0,9730
2019-01-02 13:00:00+07:00,42.0,42.0,42.0,42.0,960
2019-01-02 13:15:00+07:00,42.0,42.0,41.8,41.9,25410
2019-01-02 13:30:00+07:00,41.8,41.9,41.8,41.9,9610
2019-01-02 13:45:00+07:00,41.85,41.9,41.75,41.8,28120
2019-01-02 14:00:00+07:00,41.75,41.75,41.55,41.55,46230
2019-01-02 14:15:00+07:00,41.6,41.6,41.15,41.3,86380
2019-01-02 14:45:00+07:00,41.2,41.2,41.2,41.2,64860
2019-01-03 09:15:00+07:00,41.45,41.45,41.1,41.1,54630
2019-01-03 09:30:00+07:00,41.2,41.2,41.1,41.2,9060
2019-01-03 09:45:00+07:00,41.2,41.2,41.1,41.15,35630
2019-01-03 10:00:00+07:00,41.1,41.35,41.1,41.2,33320
2019-01-03 10:15:00+07:00,41.2,41.2,41.15,41.15,15690
2019-01-03 10:30:00+07:00,41.1,41.15,41.0,41.05,33320
2019-01-03 10:45:00+07:00,41.05,41.05,40.9,40.9,87190
2019-01-03 11:00:00+07:00,40.85,40.9,40.8,40.85,46780
2019-01-03 11:15:00+07:00,40.9,40.9,40.8,40.8,31940
2019-01-03 13:00:00+07:00,40.85,40.9,40.75,40.8,47270
2019-01-03 13:15:00+07:00,40.75,40.9,40.7,40.9,67300
2019-01-03 13:30:00+07:00,40.85,40.9,40.8,40.8,77830
2019-01-03 13:45:00+07:00,40.85,40.9,40.8,40.85,39010
2019-01-03 14:00:00+07:00,40.85,41.0,40.85,40.95,40790
2019-01-03 14:15:00+07:00,40.9,40.9,40.8,40.85,69350
2019-01-03 14:45:00+07:00,40.8,40.8,40.8,40.8,27490
2019-01-04 09:15:00+07:00,40.6,40.6,40.5,40.55,44920
2019-01-04 09:30:00+07:00,40.6,40.7,40.6,40.65,26600
2019-01-04 09:45:00+07:00,40.65,40.75,40.65,40.75,9630
2019-01-04 10:00:00+07:00,40.7,40.7,40.6,40.65,30110
2019-01-04 10:15:00+07:00,40.6,40.65,40.6,40.65,41320
2019-01-04 10:30:00+07:00,40.65,41.0,40.6,41.0,6000
2019-01-04 10:45:00+07:00,41.0,41.0,40.9,41.0,7690
2019-01-04 11:00:00+07:00,41.0,41.1,40.95,40.95,23690
2019-01-04 11:15:00+07:00,40.95,41.0,40.95,40.95,320
2019-01-04 13:00:00+07:00,41.0,41.0,40.9,40.95,31790
2019-01-04 13:15:00+07:00,40.95,41.3,40.95,41.3,16810
2019-01-04 13:30:00+07:00,41.4,41.4,41.3,41.3,24280
2019-01-04 13:45:00+07:00,41.4,41.4,41.3,41.3,2390
2019-01-04 14:00:00+07:00,41.4,41.4,41.3,41.3,2630
2019-01-04 14:15:00+07:00,41.3,41.45,41.2,41.3,17080
2019-01-04 14:45:00+07:00,41.1,41.1,41.1,41.1,33310
