Date,Open,High,Low,Close,Volumn
2019-01-02 09:00:00+07:00,41.8,42.15,41.8,41.9,127270
2019-01-02 10:00:00+07:00,41.9,42.1,41.8,42.0,52560
2019-01-02 11:00:00+07:00,42.0,42.1,41.8,42.0,17720
2019-01-02 13:00:00+07:00,42.0,42.0,41.75,41.8,64100
2019-01-02 14:00:00+07:00,41.75,41.75,41.15,41.2,197470
2019-01-03 09:00:00+07:00,41.45,41.45,41.1,41.15,99320
2019-01-03 10:00:00+07:00,41.1,41.35,40.9,40.9,169520
2019-01-03 11:00:00+07:00,40.85,40.9,40.8,40.8,78720
2019-01-03 13:00:00+07:00,40.85,40.9,40.7,40.85,231410
2019-01-03 14:00:00+07:00,40.85,41.0,40.8,40.8,137630
2019-01-04 09:00:00+07:00,40.6,40.75,40.5,40.75,81150
2019-01-04 10:00:00+07:00,40.7,41.0,40.6,41.0,85120
2019-01-04 11:00:00+07:00,41.0,41.1,40.95,40.95,24010
2019-01-04 13:00:00+07:00,41.0,41.4,40.9,41.3,75270
2019-01-04 14:00:00+07:00,41.4,41.45,41.1,41.1,53020
